name,hp,attack,defense,sp_attack,sp_defense,speed,catch_stat
Bulbasaur,45,49,49,65,65,45,45
Ivysaur,60,62,63,80,80,60,45
Venusaur,80,82,83,100,100,80,45
Charmander,39,52,43,60,50,65,45
Charmeleon,58,64,58,80,65,80,45
Charizard,78,84,78,109,85,100,45
Squirtle,44,48,65,50,64,43,45
Wartortle,59,63,80,65,80,58,45
Blastoise,79,83,100,85,105,78,45
Caterpie,45,30,35,20,20,45,255
Metapod,50,20,55,25,25,30,120
Butterfree,60,45,50,80,80,70,45
Weedle,40,35,30,20,20,50,255
Kakuna,45,25,50,25,25,35,120
Beedrill,65,80,40,45,80,75,45
Pidgey,40,45,40,35,35,56,255
Pidgeotto,63,60,55,50,50,71,120
Pidgeot,83,80,75,70,70,91,45
Rattata,30,56,35,25,35,72,255
Raticate,55,81,60,50,70,97,127
Spearow,40,60,30,31,31,70,255
Fearow,65,90,65,61,61,100,90
Ekans,35,60,44,40,54,55,255
Arbok,60,85,69,65,79,80,90
Pikachu,35,55,30,50,40,90,190
Raichu,60,90,55,90,80,100,75
Sandshrew,50,75,85,20,30,40,255
Sandslash,75,100,110,45,55,65,90
Nidoran♀,55,47,52,40,40,41,235
Nidorina,70,62,67,55,55,56,120
Nidoqueen,90,82,87,75,85,76,45
Nidoran♂,46,57,40,40,40,50,235
Nidorino,61,72,57,55,55,65,120
Nidoking,81,92,77,85,75,85,45
Clefairy,70,45,48,60,65,35,150
Clefable,95,70,73,85,90,60,25
Vulpix,38,41,40,50,65,65,190
Ninetales,73,76,75,81,100,100,75
Jigglypuff,115,45,20,45,25,20,170
Wigglytuff,140,70,45,75,50,45,50
Zubat,40,45,35,30,40,55,255
Golbat,75,80,70,65,75,90,90
Oddish,45,50,55,75,65,30,255
Gloom,60,65,70,85,75,40,120
Vileplume,75,80,85,100,90,50,45
Paras,35,70,55,45,55,25,190
Parasect,60,95,80,60,80,30,75
Venonat,60,55,50,40,55,45,190
Venomoth,70,65,60,90,75,90,75
Diglett,10,55,25,35,45,95,255
Dugtrio,35,80,50,50,70,120,50
Meowth,40,45,35,40,40,90,255
Persian,65,70,60,65,65,115,90
Psyduck,50,52,48,65,50,55,190
Golduck,80,82,78,95,80,85,75
Mankey,40,80,35,35,45,70,190
Primeape,65,105,60,60,70,95,75
Growlithe,55,70,45,70,50,60,190
Arcanine,90,110,80,100,80,95,75
Poliwag,40,50,40,40,40,90,255
Poliwhirl,65,65,65,50,50,90,120
Poliwrath,90,85,95,70,90,70,45
Abra,25,20,15,105,55,90,200
Kadabra,40,35,30,120,70,105,100
Alakazam,55,50,45,135,85,120,50
Machop,70,80,50,35,35,35,180
Machoke,80,100,70,50,60,45,90
Machamp,90,130,80,65,85,55,45
Bellsprout,50,75,35,70,30,40,255
Weepinbell,65,90,50,85,45,55,120
Victreebel,80,105,65,100,60,70,45
Tentacool,40,40,35,50,100,70,190
Tentacruel,80,70,65,80,120,100,60
Geodude,40,80,100,30,30,20,255
Graveler,55,95,115,45,45,35,120
Golem,80,110,130,55,65,45,45
Ponyta,50,85,55,65,65,90,190
Rapidash,65,100,70,80,80,105,60
Slowpoke,90,65,65,40,40,15,190
Slowbro,95,75,110,100,80,30,75
Magnemite,25,35,70,95,55,45,190
Magneton,50,60,95,120,70,70,60
Farfetch'd,52,65,55,58,62,60,45
Doduo,35,85,45,35,35,75,190
Dodrio,60,110,70,60,60,100,45
Seel,65,45,55,45,70,45,190
Dewgong,90,70,80,70,95,70,75
Grimer,80,80,50,40,50,25,190
Muk,105,105,75,65,100,50,75
Shellder,30,65,100,45,25,40,190
Cloyster,50,95,180,85,45,70,60
Gastly,30,35,30,100,35,80,190
Haunter,45,50,45,115,55,95,90
Gengar,60,65,60,130,75,110,45
Onix,35,45,160,30,45,70,45
Drowzee,60,48,45,43,90,42,190
Hypno,85,73,70,73,115,67,75
Krabby,30,105,90,25,25,50,225
Kingler,55,130,115,50,50,75,60
Voltorb,40,30,50,55,55,100,190
Electrode,60,50,70,80,80,140,60
Exeggcute,60,40,80,60,45,40,90
Exeggutor,95,95,85,125,65,55,45
Cubone,50,50,95,40,50,35,190
Marowak,60,80,110,50,80,45,75
Hitmonlee,50,120,53,35,110,87,45
Hitmonchan,50,105,79,35,110,76,45
Lickitung,90,55,75,60,75,30,45
Koffing,40,65,95,60,45,35,190
Weezing,65,90,120,85,70,60,60
Rhyhorn,80,85,95,30,30,25,120
Rhydon,105,130,120,45,45,40,60
Chansey,250,5,5,35,105,50,30
Tangela,65,55,115,100,40,60,45
Kangaskhan,105,95,80,40,80,90,45
Horsea,30,40,70,70,25,60,225
Seadra,55,65,95,95,45,85,75
Goldeen,45,67,60,35,50,63,225
Seaking,80,92,65,65,80,68,60
Staryu,30,45,55,70,55,85,225
Starmie,60,75,85,100,85,115,60
Mr. Mime,40,45,65,100,120,90,45
Scyther,70,110,80,55,80,105,45
Jynx,65,50,35,115,95,95,45
Electabuzz,65,83,57,95,85,105,45
Magmar,65,95,57,100,85,93,45
Pinsir,65,125,100,55,70,85,45
Tauros,75,100,95,40,70,110,45
Magikarp,20,10,55,15,20,80,255
Gyarados,95,125,79,60,100,81,45
Lapras,130,85,80,85,95,60,45
Ditto,48,48,48,48,48,48,35
Eevee,55,55,50,45,65,55,45
Vaporeon,130,65,60,110,95,65,45
Jolteon,65,65,60,110,95,130,45
Flareon,65,130,60,95,110,65,45
Porygon,65,60,70,85,75,40,45
Omanyte,35,40,100,90,55,35,45
Omastar,70,60,125,115,70,55,45
